Country,Year,GDPPC,LifeExpectancy,Population,Region
Peru,1833,1249,35.7,1519450,America
Philippines,1833,984,30.9,2254767,East Asia & Pacific
Poland,1833,1375,35.9,11232857,Europe & Central Asia
Portugal,1833,1693,35.6,3490333,Europe & Central Asia
Puerto Rico,1833,1480,30.43,317110,America
Qatar,1833,1241,30.8,14092,Middle East & North Africa
Reunion,1833,NA,33,100142,Sub-Saharan Africa
Romania,1833,977,35.7,6893384,Europe & Central Asia
Russia,1833,1593,29.5734571976521,34134430,Europe & Central Asia
Rwanda,1833,449,31.8,988207,Sub-Saharan Africa
St. Helena,1833,NA,NA,2859,NA
St. Kitts and Nevis,1833,1275,NA,18575,NA
St. Lucia,1833,915,28.008,24000,NA
St. Vincent and the Grenadines,1833,917,25.986,27085,NA
St.-Pierre-et-Miquelon,1833,NA,NA,1918,NA
Samoa,1833,1468,25.4,47059,East Asia & Pacific
San Marino,1833,1487,NA,5865,Europe & Central Asia
Sao Tome and Principe,1833,904,31,24518,Sub-Saharan Africa
Saudi Arabia,1833,871,32.1,2138414,Middle East & North Africa
Senegal,1833,531,25.2,1080873,Sub-Saharan Africa
Serbia,1833,1514,35.5,2347810,Europe & Central Asia
Seychelles,1833,902,37,12965,Sub-Saharan Africa
Sierra Leone,1833,784,25.1,849920,Sub-Saharan Africa
Singapore,1833,1054,34,37232,East Asia & Pacific
Slovak Republic,1833,1591,36.4,2220574,Europe & Central Asia
Slovenia,1833,1571,36.6,513559,Europe & Central Asia
Solomon Islands,1833,381,25.1,59648,East Asia & Pacific
Somalia,1833,716,29.4,1065648,Sub-Saharan Africa
South Africa,1833,1536,33.5,1714970,Sub-Saharan Africa
Spain,1833,1571,29.5,13051762,Europe & Central Asia
Sri Lanka,1833,912,32.6,1494084,South Asia
Sudan,1833,553,31.4,4289105,Sub-Saharan Africa
Suriname,1833,1791,32.9,87130,America
Swaziland,1833,523,32.3,86000,Sub-Saharan Africa
Sweden,1833,1564,42.5,2855774,Europe & Central Asia
Switzerland,1833,3107,38,2101048,Europe & Central Asia
Syria,1833,1102,31.1,1383046,Middle East & North Africa
Tajikistan,1833,603,24.235,512083,Europe & Central Asia
Tanzania,1833,584,32.2,3129057,Sub-Saharan Africa
Thailand,1833,952,30.4,4847494,East Asia & Pacific
Timor-Leste,1833,556,28.949,153614,East Asia & Pacific
Togo,1833,729,31.3,487574,Sub-Saharan Africa
Tokelau,1833,NA,NA,1003,East Asia & Pacific
Tonga,1833,694,28.2,18548,East Asia & Pacific
Trinidad and Tobago,1833,1324,32.9,66150,America
Tunisia,1833,764,28.8,928894,Middle East & North Africa
Turkey,1833,1312,35,10398375,Europe & Central Asia
Turkmenistan,1833,1050,24,403139,Europe & Central Asia
Turks and Caicos Islands,1833,533,NA,3537,America
Tuvalu,1833,753,NA,2644,East Asia & Pacific
Uganda,1833,495,25.3,2172807,Sub-Saharan Africa
Ukraine,1833,850,36.6,12320877,Europe & Central Asia
United Arab Emirates,1833,1129,30.7,40153,Middle East & North Africa
United Kingdom,1833,3713,41.3496310560426,18533999,Europe & Central Asia
United States,1833,2906,39.41,13480460,America
Uruguay,1833,2392,32.9,74793,America
Uzbekistan,1833,524,26.926,2106508,Europe & Central Asia
Wallis et Futuna,1833,NA,NA,3908,East Asia & Pacific
Vanuatu,1833,614,24.3,28979,East Asia & Pacific
Venezuela,1833,725,32.2,887197,America
West Bank and Gaza,1833,1226,32.1,165944,Middle East & North Africa
Western Sahara,1833,NA,34.753,3161,Middle East & North Africa
Vietnam,1833,856,32,7214925,East Asia & Pacific
Virgin Islands (U.S.),1833,NA,33.403,40000,America
Yemen,1833,963,23.387,2640779,NA
Zambia,1833,718,32.6,747000,Sub-Saharan Africa
Zimbabwe,1833,904,33.7,1167259,Sub-Saharan Africa
South Sudan,1833,542,26.665,1103246,Sub-Saharan Africa
Afghanistan,1834,634,27.8626133333333,3448982,South Asia
Albania,1834,691,35.4,457234,Europe & Central Asia
Algeria,1834,855,28.8224,2880355,Middle East & North Africa
American Samoa,1834,NA,NA,8128,East Asia & Pacific
Andorra,1834,1465,NA,2835,Europe & Central Asia
Angola,1834,717,26.98,1686390,Sub-Saharan Africa
Anguilla,1834,NA,NA,2177,America
Antigua and Barbuda,1834,834,33.536,37000,America
Argentina,1834,1844,33.2,686703,America
Armenia,1834,544,33.995,453507,Europe & Central Asia
Aruba,1834,918,34.419,20332,America
Australia,1834,1562,34.05,348143,East Asia & Pacific
Austria,1834,2452,34.4,3538286,Europe & Central Asia
Azerbaijan,1834,841,29.165,965887,Europe & Central Asia
Bahamas,1834,1593,35.179,27558,America
Bahrain,1834,1430,30.3,64474,Middle East & North Africa
Bangladesh,1834,876,25.5,20872777,South Asia
Barbados,1834,1007,32.124,96798,America
Belarus,1834,666,36.2,2584900,Europe & Central Asia
Belgium,1834,2633,40.2736585365854,3751571,Europe & Central Asia
Belize,1834,638,26.5,25641,America
Benin,1834,640,31,702829,Sub-Saharan Africa
Bermuda,1834,1353,NA,9315,America
Bhutan,1834,649,28.799,94472,South Asia
Bolivia,1834,977,33,1185846,America
Bosnia and Herzegovina,1834,720,35.1,931129,Europe & Central Asia
Botswana,1834,426,33.6,121000,Sub-Saharan Africa
Brazil,1834,1146,31.9934266666667,5301068,America
British Virgin Islands,1834,NA,NA,6700,America
Brunei,1834,1590,29.2,2632,East Asia & Pacific
Bulgaria,1834,1170,37.2959999999999,2287551,Europe & Central Asia
Burkina Faso,1834,489,29.2,1792717,Sub-Saharan Africa
Burundi,1834,431,31.5,972428,Sub-Saharan Africa
Cambodia,1834,925,35,2137966,East Asia & Pacific
Cameroon,1834,672,28.75,1916391,Sub-Saharan Africa
Canada,1834,1755,39.42764,1202146,America
Cape Verde,1834,563,33.8,61014,Sub-Saharan Africa
Cayman Islands,1834,1145,NA,2645,America
Central African Republic,1834,455,30,503090,NA
Chad,1834,449,30.9,1432000,Sub-Saharan Africa
Channel Islands,1834,NA,NA,46894,Europe & Central Asia
Chile,1834,1016,32,969062,America
China,1834,986,32,402373519,East Asia & Pacific
Colombia,1834,1001,32,1451312,America
Comoros,1834,720,32.1,61016,Sub-Saharan Africa
"Congo, Dem. Rep.",1834,558,31.6,5520718,Sub-Saharan Africa
"Congo, Rep.",1834,633,32.7,338459,Sub-Saharan Africa
Cook Is,1834,NA,NA,16734,NA
Costa Rica,1834,909,30.2147,72046,America
Cote d'Ivoire,1834,931,31.156,1165948,Sub-Saharan Africa
Croatia,1834,1514,36.1,1342619,Europe & Central Asia
Cuba,1834,1282,36.3,772812,America
Cyprus,1834,1010,38.5042947368421,184986,Europe & Central Asia
Czech Republic,1834,2153,34.9544,5723332,NA
Denmark,1834,2339,36.5254940182318,1264714,Europe & Central Asia
Djibouti,1834,837,29.9,24698,Middle East & North Africa
Dominica,1834,731,NA,20786,America
Dominican Republic,1834,722,29.9,105490,NA
Ecuador,1834,580,32.9,591558,America
Egypt,1834,846,33,4662153,Middle East & North Africa
El Salvador,1834,1099,28.7,283227,America
Equatorial Guinea,1834,372,29.8,83105,Sub-Saharan Africa
Eritrea,1834,553,30.2,234703,Sub-Saharan Africa
Estonia,1834,1051,38.0431485894646,366799,Europe & Central Asia
Ethiopia,1834,527,29.7,3407854,Sub-Saharan Africa
Faeroe Islands,1834,NA,NA,14457,Europe & Central Asia
Falkland Is (Malvinas),1834,NA,NA,100,NA
Fiji,1834,826,26.1,137074,East Asia & Pacific
Finland,1834,1389,38.9039622765215,1327905,Europe & Central Asia
France,1834,1879,35.01,33174810,Europe & Central Asia
French Guiana,1834,NA,30.5,10656,America
French Polynesia,1834,NA,25.6,64933,East Asia & Pacific
Gabon,1834,392,30.6,172241,Sub-Saharan Africa
Gambia,1834,830,28.8,111354,Sub-Saharan Africa
Georgia,1834,582,31.871,1176832,Europe & Central Asia
Germany,1834,2055,38.37,28016571,Europe & Central Asia
Ghana,1834,715,28,1920723,Sub-Saharan Africa
Gibraltar,1834,NA,NA,10450,Europe & Central Asia
Greece,1834,1592,36.6,2537857,Europe & Central Asia
Greenland,1834,458,33.8671060533004,10260,Europe & Central Asia
Grenada,1834,1020,31.4,30530,America
Guadeloupe,1834,NA,27.655,86973,America
Guam,1834,NA,27.5,17423,East Asia & Pacific
Guatemala,1834,963,25.80544,671855,America
Guinea,1834,465,29.851724137931,1076128,Sub-Saharan Africa
Guinea-Bissau,1834,788,32,233367,Sub-Saharan Africa
Guyana,1834,1338,31.12,178030,America
Haiti,1834,732,29,789634,America
Holy See,1834,NA,NA,905,Europe & Central Asia
Honduras,1834,809,33.9,188905,America
"Hong Kong, China",1834,1042,34.9,23754,East Asia & Pacific
Hungary,1834,1397,36,4464317,Europe & Central Asia
Iceland,1834,1082,24.0110066048016,65604,Europe & Central Asia
India,1834,1052,25.4424,182214537,South Asia
Indonesia,1834,1018,30,18460171,East Asia & Pacific
Iran,1834,1006,25.6,6898130,Middle East & North Africa
Iraq,1834,1030,31.2,1177768,Middle East & North Africa
Ireland,1834,1772,38.3,5537192,Europe & Central Asia
Isle of Man,1834,NA,NA,25150,Europe & Central Asia
Israel,1834,884,32,209954,Middle East & North Africa
Italy,1834,2615,29.69,21529667,Europe & Central Asia
Jamaica,1834,1045,34.2,400332,America
Japan,1834,1100,36.4135163076924,31330455,East Asia & Pacific
Jordan,1834,1037,31.7,226087,Middle East & North Africa
Kazakhstan,1834,1278,26.2,2240213,Europe & Central Asia
Kenya,1834,949,25.5,2574000,Sub-Saharan Africa
Kiribati,1834,568,24.9,18407,East Asia & Pacific
North Korea,1834,559,26,4377749,NA
South Korea,1834,556,25.8,9444785,NA
Kuwait,1834,1246,26,81280,Middle East & North Africa
Kyrgyz Republic,1834,576,23.941,581987,NA
